x,y,z,theta1,theta2,theta3
0.4198479147725105,0.266194310366782,0.21280682016945862,0.19743755257083512,0.9368812799275819,0.39626423393453547
0.4768315658987625,0.7952256134899863,0.686625975597084,0.7624644636298169,0.7244756940335196,0.3088616735395988
0.5711222111551907,0.5879264895885126,0.05444228603611745,0.6417533489484787,1.0550386489192862,0.5004251793253026
0.6324091327027033,0.4383136524773853,0.49358303789608216,0.43061188602312245,0.5349681906524517,0.7405790330776659
0.37888637225471267,0.2891178163767777,0.3163012777876011,0.1670289823912481,0.8368932407372275,0.4730381644276285
0.8260745985399667,0.42335167833081666,0.6982554223087708,0.4632555188441634,0.8855299317683735,0.04004103482560483
0.5767463110761388,0.30613784391640664,0.7318471838763443,0.30999350858058833,0.5241109849451502,0.5296946205640833
0.4202241810414076,0.4874453579486494,0.7050075544782701,0.02484309895757317,0.20857345370325658,0.7737515561777567
0.5817908357266419,0.5794303082035256,0.2651381632298777,0.6226698913569975,0.8152824975840633,0.7029209974939012
0.5138745216693865,0.6379033085011959,0.7069307459906695,0.734041044068531,0.37278654543640166,0.6827438152416353
0.5316859292404883,0.3066707358241294,0.0324401716182352,0.2758550182138835,1.0870685377558016,0.33005691158089456
0.7591299589482609,0.4325015101859194,0.07625558238113928,0.4594443344093052,1.131516963438897,0.14241531904974855
0.3647631811343639,0.22936911434266605,0.415745639814862,0.17624518575930462,0.8541214687180685,0.3283809527211051
0.5093890939506264,0.4026785751490213,0.26257446081448943,0.2653071159060208,0.8232651920136694,0.7241691609204838
0.6198943546031419,0.7843201133685037,0.592867137084129,0.6864873201778803,0.7777917813973976,0.3026051745562363
0.6131464975577308,0.6776202872604679,0.5999225453945426,0.6597286630376439,0.5751324570901353,0.584012554307133
0.20497790432154772,0.6755169011068809,0.5316583963382571,0.9145844495649899,0.9150908122195319,0.12273454829986474
0.5094241156198305,0.5129627290982354,0.35968072166742726,0.6499506569198611,0.7351993512849448,0.9045176153004404
0.49588492727354483,0.30121388752611544,0.8112401816107533,0.24670580289464833,0.4976822420649626,0.49336559680979536
0.30117071357468905,0.3330937962380661,0.6823417215337791,0.1111433398037529,0.6416024384972213,0.4293785340120861
0.6280898114486358,0.21995168941282062,0.3716253933460405,0.31827397630836374,0.8969071587263336,0.2921453131165468
0.4278894433774034,0.7300272808262454,0.5709231868644232,0.7983486905574358,0.647649263874693,0.5166126697034095
0.5261893779617645,0.5239264393473361,0.36619766927608655,0.6178183673448908,0.6715140140625426,0.8950123584280357
0.44321759563396024,0.6344647820948536,0.6162557556888129,0.8135932888312699,0.4280700010339637,0.717055334875703
0.44459974904842203,0.3180646211560425,0.6388059615188907,0.20295622228021318,0.5150057158242236,0.6167319021271569
0.7150764399739715,0.5504840271725305,0.6616815117479367,0.5366935319867446,0.5684790884244377,0.5380664196907047
0.7014412784194207,0.47381262808150915,0.9068631609060969,0.4794252396402743,0.5223176353900122,0.3909890078505065
0.3684065312488094,0.34683371235893645,0.3032692173666557,0.13703426667823693,0.8069320544068833,0.5643514140566372
0.7008789201820382,0.6005221536231222,0.35759115637877315,0.5738442141930507,0.7785023709915513,0.5370760902214833
0.4298727704501464,0.3368462988564046,0.9952899327016004,0.18539124929183426,0.5064947675053061,0.3310928918798864
0.3945323707345133,0.43180472281527815,0.7117854142262363,0.09135187096175991,0.3386873146114268,0.701613529291753
0.6000787050421829,0.7620874820841907,0.48875363532512317,0.6919459137502343,0.7656747371024945,0.4127712260738021
0.37389063853992055,0.5918998183021112,0.9908089211266844,0.8997722536354312,0.4594223673318263,0.38008544766063185
0.3278612623786723,0.6491232904683637,0.5954689121599153,0.8863825301398137,0.6101618002935122,0.5444526673558185
0.637153810163148,0.4722071435854023,0.19682764690054666,0.4681797088009767,0.895412922715716,0.6078247585919904
0.5725508964205607,0.4362639556345921,0.645433773970754,0.3852796046687614,0.2691984745520073,0.7941643511557658
0.6200726405634037,0.3398265836503208,0.9710293109824302,0.3523798598547886,0.5426270658174914,0.3143728167563336
0.5753743888165327,0.6711088374427316,0.09981566612394965,0.6839617872629165,1.0075289353746253,0.43321559914468954
0.3704964817748013,0.7573867449509953,0.4621389157921595,0.8241920665629002,0.795922635542058,0.3868752730432457
0.20335330297153387,0.5153782974732507,0.7328917840214311,0.9917567156925156,0.7239928550971194,0.27270090128498575
0.7175409124201075,0.30937080968762043,0.819211259756812,0.3854783356072428,0.7151213128005697,0.21659301025356203
0.6122969700510362,0.2848871784869931,0.8847889445681336,0.3265729155723459,0.6063537840838952,0.31208154808909166
0.28695681534836637,0.37197961162184423,0.060878393579486545,0.08611721930726478,1.1101300573987405,0.20935635125552826
0.4632849278390566,0.6541997237506628,0.28793596449551306,0.7872022150655547,0.7946461258559362,0.6434381930807889
0.6429345070278422,0.5099134953378675,0.1513393219275484,0.5110208457405665,0.9453677749270364,0.5618238041921383
0.7849642533462634,0.3694579592515558,0.6250828648043785,0.4316319395570038,0.7817184335479035,0.27015153952867127
0.8382225701824217,0.5217545393010627,0.5207881978726542,0.5102227938526471,0.8979221060434798,0.1611261915280741
0.34420610866269397,0.7368958670050549,0.2677711367385597,0.8425855712529229,0.9359011371005513,0.32485042707274353
0.5726519400941114,0.6383754638338544,0.33306550593197737,0.6730526726608264,0.7403121383586455,0.6734916673368802
0.524769403358832,0.32345065848076193,0.882309953392664,0.27218421850494007,0.4633558160096412,0.46905709465731843
0.24648709900751498,0.6776829902126056,0.5108579256834356,0.902705619707611,0.814043050703088,0.31227474406456435
0.29505504017993855,0.558997243679642,0.43619917309047174,0.9553904035672945,0.6952285480001497,0.5859181618419559
0.7307852582413781,0.5889162137622034,0.5873657570527294,0.5585292172151749,0.6511397461578267,0.4969435289432817
0.6579379183028503,0.4773038177507598,0.6471542420462995,0.47728443890227357,0.44411670165979766,0.6767263252273589
0.6361815135304748,0.5213155436645432,0.25147396757444596,0.5247109149522435,0.831944280236318,0.6548989010017457
0.4444886827547567,0.8182294219053994,0.5354066741408824,0.7774861151696696,0.837618102321963,0.25195614668597527
0.7051807881102513,0.5886487374497763,0.4228565764909372,0.5649079100136692,0.7206468040573497,0.5589827367582384
0.6525540674917045,0.5201530711381681,0.9918749875307042,0.5209040341244319,0.45570167162842307,0.3824118770576748
0.4201115950491121,0.5719614912337956,0.6490827789227374,0.8833007193914183,0.30393470866876915,0.7730352366725012
